day,country,"player size",opportunities,"ad requests",impressions,"fillrate %",revenue,rpm,"impression rpm",cost
2018-11-10,IT,1920x1080,98,6645,1,1.02,0,.01,1.75,0
2018-11-10,LT,1024x768,12,2609,0,0,0,0,0,0
2018-11-10,GB,480x320,3884,64999,13,.33,.02,0,2.01,.01
2018-11-10,JM,0x0,5,345,0,0,0,0,0,0
2018-11-10,NO,640x360,0,27,0,0,0,0,0,0
2018-11-10,ID,300x250,17694,201054,3,.01,0,0,1.49,0
2018-11-10,VI,728x1280,1,0,0,0,0,0,0,0
2018-11-10,KW,1920x1080,7,481,0,0,0,0,0,0
2018-11-10,HK,720x1280,2268,429972,25,1.10,.04,.02,1.98,.02
2018-11-10,GP,300x250,30,2418,0,0,0,0,0,0
2018-11-10,HN,720x1280,49,18781,0,0,0,0,0,0
2018-11-10,CI,1024x768,1,63,0,0,0,0,0,0
2018-11-10,TM,1024x768,1,190,0,0,0,0,0,0
2018-11-10,BS,720x1280,22,4118,0,0,0,0,0,0
2018-11-10,BE,728x1024,26,6972,3,11.53,0,.20,1.80,0
2018-11-10,MU,1280x728,1,0,0,0,0,0,0,0
2018-11-10,TN,320x480,24,4963,0,0,0,0,0,0
2018-11-10,UA,1024x768,59,827,0,0,0,0,0,0
2018-11-10,MY,728x1024,562,316536,10,1.77,.01,.02,1.47,0
2018-11-10,CA,480x360,44,4518,3,6.81,0,.11,1.63,0
2018-11-10,AO,300x250,3834,8827,0,0,0,0,0,0
2018-11-10,MF,300x250,76,245,0,0,0,0,0,0
2018-11-10,BH,320x480,96,13527,1,1.04,0,.01,1.34,0
2018-11-10,NO,1024x768,700,35699,73,10.42,.14,.21,2.02,0
2018-11-10,PE,1920x1080,1171,237190,99,8.45,.15,.13,1.57,.01
2018-11-10,AO,728x1024,1,109,0,0,0,0,0,0
2018-11-10,MU,1280x720,53,16527,2,3.77,0,.07,2.00,0
2018-11-10,FM,300x250,333,636,0,0,0,0,0,0
2018-11-10,UG,768x1024,1,0,0,0,0,0,0,0
2018-11-10,AF,720x1280,16,2645,0,0,0,0,0,0
2018-11-10,PF,1280x720,1,9,0,0,0,0,0,0
2018-11-10,UZ,728x1024,3,972,0,0,0,0,0,0
2018-11-10,HK,1024x768,2975,1081662,166,5.57,.30,.10,1.82,0
2018-11-10,CZ,480x320,4229,28518,0,0,0,0,0,0
2018-11-10,GW,300x250,362,563,0,0,0,0,0,0
2018-11-10,BB,720x1280,7,699,0,0,0,0,0,0
2018-11-10,NI,320x100,1,9,0,0,0,0,0,0
2018-11-10,KH,728x1280,2,963,0,0,0,0,0,0
2018-11-10,GD,1280x720,118,5872,1,.84,0,.01,1.43,0
2018-11-10,LB,320x100,60,81,0,0,0,0,0,0
2018-11-10,IN,300x250,85021,2568670,2,0,0,0,1.75,0
2018-11-10,KW,728x1280,1020,195517,154,15.09,.31,.31,2.06,0
2018-11-10,HK,728x1024,230,444190,15,6.52,.02,.11,1.78,0
2018-11-10,GT,728x1280,1,654,0,0,0,0,0,0
2018-11-10,US,300x50,0,63,0,0,0,0,0,0
2018-11-10,CA,300x250,47230,1255453,333,.70,.51,.01,1.55,.34
2018-11-10,SE,320x480,35849,1942352,12721,35.48,18.08,.50,1.42,.04
2018-11-10,CG,1024x768,1,590,0,0,0,0,0,0
2018-11-10,ID,1280x720,322,21745,2,.62,0,.01,1.62,0
2018-11-10,DM,1280x720,1,536,0,0,0,0,0,0
2018-11-10,IQ,320x50,6,1436,0,0,0,0,0,0
2018-11-10,IR,768x1024,45,4227,0,0,0,0,0,0
2018-11-10,NP,1024x768,6,1509,0,0,0,0,0,0
2018-11-10,AS,1280x720,2,354,0,0,0,0,0,0
2018-11-10,HU,728x1024,11,2499,0,0,0,0,0,0
2018-11-10,ZA,728x1280,8467,2438006,3149,37.19,4.90,.57,1.55,0
2018-11-10,US,728x1080,1731,222899,443,25.59,.87,.50,1.98,0
2018-11-10,PS,1920x1080,1,445,0,0,0,0,0,0
2018-11-10,GB,320x50,6645,76290,4,.06,0,0,2.00,0
2018-11-10,TO,1280x728,1,418,0,0,0,0,0,0
2018-11-10,DK,640x360,0,18,0,0,0,0,0,0
2018-11-10,UY,720x1280,9,1563,0,0,0,0,0,0
2018-11-10,DO,720x1280,34,12145,1,2.94,0,.04,1.44,0
2018-11-10,SI,768x1024,8,1472,0,0,0,0,0,0
2018-11-10,PA,480x320,411,3909,0,0,0,0,0,0
2018-11-10,CO,300x250,14911,116427,2,.01,0,0,1.50,0
2018-11-10,GH,320x480,1,45,0,0,0,0,0,0
2018-11-10,BB,1280x720,21,1781,2,9.52,0,.13,1.44,0
2018-11-10,LR,768x1024,10,981,0,0,0,0,0,0
2018-11-10,SY,300x250,0,9963,0,0,0,0,0,0
2018-11-10,KZ,728x1024,2,9,0,0,0,0,0,0
2018-11-10,BE,728x1280,55,8336,0,0,0,0,0,0
2018-11-10,BG,1920x1080,2,427,1,50.00,0,.75,1.50,0
2018-11-10,ZA,728x1024,5071,2283206,2977,58.70,4.64,.91,1.55,0
2018-11-10,IQ,1920x1080,14,3818,0,0,0,0,0,0
2018-11-10,LC,768x1024,12,772,0,0,0,0,0,0
2018-11-10,AM,1280x720,2,9,0,0,0,0,0,0
2018-11-10,NZ,720x400,3,109,0,0,0,0,0,0
2018-11-10,NC,768x1024,1,45,0,0,0,0,0,0
2018-11-10,HT,768x1024,3,454,0,0,0,0,0,0
2018-11-10,AR,720x1280,985,225327,43,4.36,.06,.06,1.51,.01
2018-11-10,RW,480x320,3,9,0,0,0,0,0,0
2018-11-10,ZA,1280x728,729,273790,371,50.89,.57,.78,1.54,0
2018-11-10,TH,728x1024,1,999,0,0,0,0,0,0
2018-11-10,SY,768x1024,81,5972,0,0,0,0,0,0
2018-11-10,SN,300x250,5107,12727,0,0,0,0,0,0
2018-11-10,IR,728x1280,1,172,0,0,0,0,0,0
2018-11-10,CA,728x1024,31060,4717686,10866,34.98,18.99,.61,1.74,0
2018-11-10,NL,1280x728,27,9309,2,7.40,0,.12,1.67,0
2018-11-10,QA,728x1280,0,2463,0,0,0,0,0,0
2018-11-10,GN,768x1024,5,181,0,0,0,0,0,0
2018-11-10,CG,480x320,3,18,0,0,0,0,0,0
2018-11-10,GE,728x1024,2,81,0,0,0,0,0,0
2018-11-10,DZ,768x1024,14,2499,0,0,0,0,0,0
2018-11-10,RS,728x1024,1,245,0,0,0,0,0,0
2018-11-10,PA,400x728,7,5199,0,0,0,0,0,0
2018-11-10,HN,0x0,0,45,0,0,0,0,0,0
2018-11-10,NI,728x1024,5,1454,0,0,0,0,0,0
2018-11-10,BS,768x1024,32,4354,0,0,0,0,0,0
2018-11-10,BW,300x250,1107,2481,0,0,0,0,0,0
2018-11-10,CM,1280x720,48,13545,0,0,0,0,0,0
2018-11-10,MN,720x1280,32,5927,0,0,0,0,0,0
2018-11-10,NO,300x250,674,20254,39,5.78,.06,.09,1.59,.04
2018-11-10,CL,728x1024,613,580363,265,43.23,.41,.68,1.58,0
2018-11-10,EE,768x1024,5,1672,1,20.00,0,.43,2.15,0
2018-11-10,GB,768x1024,4453,127545,23,.51,.04,0,1.87,.03
2018-11-10,LK,400x300,0,54,0,0,0,0,0,0
2018-11-10,MX,320x100,248,1972,0,0,0,0,0,0
2018-11-10,GM,720x1280,25,2736,0,0,0,0,0,0
2018-11-10,CM,768x1024,79,12245,0,0,0,0,0,0
2018-11-10,TZ,1024x768,5,290,0,0,0,0,0,0
2018-11-10,SC,300x250,599,1263,0,0,0,0,0,0
2018-11-10,AS,300x250,68,527,0,0,0,0,0,0
2018-11-10,DE,300x250,7324,224227,4,.05,0,0,1.80,0
2018-11-10,IT,400x728,23,1518,0,0,0,0,0,0
2018-11-10,PF,300x250,870,1890,0,0,0,0,0,0
2018-11-10,BW,768x1024,20,1945,0,0,0,0,0,0
2018-11-10,IS,320x100,24,72,0,0,0,0,0,0
2018-11-10,LA,300x250,4190,41581,0,0,0,0,0,0
2018-11-10,GD,720x1280,21,5072,0,0,0,0,0,0
2018-11-10,AU,400x300,4,336,4,100.00,.01,2.50,2.50,0
2018-11-10,DK,90x75,2,18,0,0,0,0,0,0
2018-11-10,UZ,728x1280,3,999,0,0,0,0,0,0
2018-11-10,AM,480x320,40,90,0,0,0,0,0,0
2018-11-10,AT,480x320,513,6590,0,0,0,0,0,0
2018-11-10,IS,300x250,88,254,0,0,0,0,0,0
2018-11-10,US,408x250,0,9,0,0,0,0,0,0
2018-11-10,MT,400x300,0,18,0,0,0,0,0,0
2018-11-10,SZ,768x1024,3,409,0,0,0,0,0,0
2018-11-10,SK,768x1024,57,7072,0,0,0,0,0,0
2018-11-10,BO,480x320,7,490,0,0,0,0,0,0
2018-11-10,GD,1280x728,4,54,0,0,0,0,0,0
2018-11-10,EG,400x728,1,0,0,0,0,0,0,0
2018-11-10,CA,320x100,3741,25109,13,.34,.02,0,1.62,.01
2018-11-10,NL,320x480,40662,369817,92,.22,.18,0,2.06,.10
2018-11-10,GM,768x1024,43,2899,0,0,0,0,0,0
2018-11-10,CL,728x1280,146,31554,8,5.47,.01,.07,1.45,0
2018-11-10,KZ,728x1280,3,309,0,0,0,0,0,0
2018-11-10,HK,1280x760,1,0,0,0,0,0,0,0
2018-11-10,ZA,1280x720,1099,128181,13,1.18,.01,.01,1.52,0
2018-11-10,VN,1280x728,1,509,0,0,0,0,0,0
2018-11-10,KN,720x1280,3,763,0,0,0,0,0,0
2018-11-10,US,640x480,123,33809,25,20.32,.07,.58,2.86,.01
2018-11-10,VI,768x1024,23,1790,0,0,0,0,0,0
2018-11-10,LK,0x0,1,0,0,0,0,0,0,0
2018-11-10,RS,1280x720,4,745,0,0,0,0,0,0
2018-11-10,BD,728x1280,28,4718,0,0,0,0,0,0
2018-11-10,YE,400x728,1,90,0,0,0,0,0,0
2018-11-10,BT,768x1024,34,4472,0,0,0,0,0,0
2018-11-10,MX,1280x760,428,86099,1,.23,0,0,2.65,0
2018-11-10,NO,720x1280,52,10472,10,19.23,.01,.35,1.85,.01
2018-11-10,IR,728x1024,4,499,0,0,0,0,0,0
2018-11-10,MH,1024x768,1,27,0,0,0,0,0,0
2018-11-10,NO,320x50,79,981,0,0,0,0,0,0
2018-11-10,HR,480x320,5,63,0,0,0,0,0,0
2018-11-10,KH,480x320,18,863,0,0,0,0,0,0
2018-11-10,LA,768x1024,1413,324181,0,0,0,0,0,0
2018-11-10,VE,1024x768,4,1036,0,0,0,0,0,0
2018-11-10,US,298x480,1,27,1,100.00,0,4.50,4.50,0
2018-11-10,RW,1280x720,8,1363,0,0,0,0,0,0
2018-11-10,DO,1920x1080,6,872,0,0,0,0,0,0
2018-11-10,BB,480x320,1,81,0,0,0,0,0,0
2018-11-10,AM,768x1024,111,12581,0,0,0,0,0,0
2018-11-10,IR,480x320,1,72,0,0,0,0,0,0
2018-11-10,SR,728x1024,1,2181,0,0,0,0,0,0
2018-11-10,TN,1024x768,2,154,0,0,0,0,0,0
