day,country,"player size",opportunities,"ad requests",impressions,"fillrate %",revenue,rpm,"impression rpm",cost
2018-11-11,FJ,720x1280,6,572,0,0,0,0,0,0
2018-11-11,MA,728x1280,9,1563,0,0,0,0,0,0
2018-11-11,IQ,1280x728,1,0,0,0,0,0,0,0
2018-11-11,UA,480x320,116,1145,0,0,0,0,0,0
2018-11-11,ZA,720x1280,82,16299,9,10.97,.01,.15,1.45,0
2018-11-11,EC,300x250,805,20845,0,0,0,0,0,0
2018-11-11,IN,720x1280,567,133936,0,0,0,0,0,0
2018-11-11,CA,728x1280,4254,486035,2416,56.79,4.19,.98,1.73,0
2018-11-11,MD,320x480,42,418,0,0,0,0,0,0
2018-11-11,AO,300x250,510,772,0,0,0,0,0,0
2018-11-11,US,1280x1024,0,9,0,0,0,0,0,0
2018-11-11,LK,768x1024,205,36936,0,0,0,0,0,0
2018-11-11,SG,728x1024,78,163227,29,37.17,.04,.55,1.49,0
2018-11-11,VU,300x250,20,145,0,0,0,0,0,0
2018-11-11,ZA,1280x728,314,80054,187,59.55,.28,.90,1.51,0
2018-11-11,BT,320x480,41,63,0,0,0,0,0,0
2018-11-11,MA,720x1280,10,2772,0,0,0,0,0,0
2018-11-11,ML,320x480,19,45,0,0,0,0,0,0
2018-11-11,ID,720x1080,3,181,0,0,0,0,0,0
2018-11-11,MU,768x1024,243,44327,2,.82,0,.01,2.00,0
2018-11-11,HU,728x1280,1,0,0,0,0,0,0,0
2018-11-11,IN,728x1280,144,8463,0,0,0,0,0,0
2018-11-11,CR,1280x760,3,536,4,133.33,0,2.26,1.70,0
2018-11-11,PH,400x728,4,2281,0,0,0,0,0,0
2018-11-11,DE,768x1024,187,37045,27,14.43,.04,.23,1.59,.03
2018-11-11,RU,640x360,42,909,0,0,0,0,0,0
2018-11-11,BQ,300x250,90,390,0,0,0,0,0,0
2018-11-11,CM,1024x768,3,281,0,0,0,0,0,0
2018-11-11,SI,320x50,26,45,0,0,0,0,0,0
2018-11-11,US,0x0,805,38545,96,11.92,.14,.18,1.52,.11
2018-11-11,IR,480x320,3,372,0,0,0,0,0,0
2018-11-11,PT,728x1024,21,6927,0,0,0,0,0,0
2018-11-11,AS,720x1280,3,690,0,0,0,0,0,0
2018-11-11,WF,768x1024,2,527,0,0,0,0,0,0
2018-11-11,TR,320x480,589,23827,6,1.01,.01,.01,1.75,0
2018-11-11,CI,480x320,21,18,0,0,0,0,0,0
2018-11-11,EC,0x0,4,0,0,0,0,0,0,0
2018-11-11,FM,320x480,9,0,0,0,0,0,0,0
2018-11-11,GR,1920x1080,2,299,0,0,0,0,0,0
2018-11-11,IN,728x1024,157,27990,0,0,0,0,0,0
2018-11-11,HU,728x1024,2,154,0,0,0,0,0,0
2018-11-11,MY,768x1024,559,214890,13,2.32,.02,.03,1.54,0
2018-11-11,IR,1280x720,2,90,0,0,0,0,0,0
2018-11-11,MT,300x250,24,27,0,0,0,0,0,0
2018-11-11,BY,1920x1080,1,0,0,0,0,0,0,0
2018-11-11,NO,320x480,6135,43527,39,.63,.07,.01,1.96,.03
2018-11-11,TW,300x250,30914,1820616,4356,14.09,7.01,.22,1.61,4.31
2018-11-11,PT,1024x768,98,5436,0,0,0,0,0,0
2018-11-11,BH,480x320,19,645,0,0,0,0,0,0
2018-11-11,US,720x400,45,1745,8,17.77,.01,.32,1.80,.01
2018-11-11,PS,768x1024,10,618,1,10.00,0,.20,2.00,0
2018-11-11,TH,728x1280,0,109,0,0,0,0,0,0
2018-11-11,KH,768x1024,101,24445,0,0,0,0,0,0
2018-11-11,GI,768x1024,1,63,0,0,0,0,0,0
2018-11-11,SV,768x1024,11,1281,0,0,0,0,0,0
2018-11-11,ES,320x480,53167,336136,18,.03,.03,0,1.78,.02
2018-11-11,TZ,320x480,31,172,0,0,0,0,0,0
2018-11-11,SC,300x250,97,118,0,0,0,0,0,0
2018-11-11,KE,320x50,94,145,0,0,0,0,0,0
2018-11-11,LS,300x250,151,236,0,0,0,0,0,0
2018-11-11,GD,720x1280,4,1136,0,0,0,0,0,0
2018-11-11,MN,720x1280,19,4190,2,10.52,0,.48,4.61,0
2018-11-11,LA,768x1024,803,210181,2,.24,0,0,1.50,0
2018-11-11,NG,300x250,155,318,0,0,0,0,0,0
2018-11-11,GD,300x250,61,90,0,0,0,0,0,0
2018-11-11,KN,768x1024,3,981,0,0,0,0,0,0
2018-11-11,PW,728x1024,1,699,0,0,0,0,0,0
2018-11-11,TR,300x250,254,427,0,0,0,0,0,0
2018-11-11,VC,300x250,13,45,0,0,0,0,0,0
2018-11-11,NE,768x1024,11,1799,0,0,0,0,0,0
2018-11-11,GD,728x1280,2,599,0,0,0,0,0,0
2018-11-11,LR,480x320,1,118,0,0,0,0,0,0
2018-11-11,PK,320x50,59,54,0,0,0,0,0,0
2018-11-11,HN,768x1024,118,41345,2,1.69,0,.02,1.50,0
2018-11-11,KH,480x320,21,109,0,0,0,0,0,0
2018-11-11,IM,1280x760,2,0,0,0,0,0,0,0
2018-11-11,ZA,1280x720,532,73072,9,1.69,.01,.02,1.57,0
2018-11-11,AS,480x320,20,27,0,0,0,0,0,0
2018-11-11,TZ,300x250,365,854,0,0,0,0,0,0
2018-11-11,FI,1024x768,46,154,0,0,0,0,0,0
2018-11-11,UA,768x1024,43,4863,0,0,0,0,0,0
2018-11-11,IQ,1280x720,19,5745,0,0,0,0,0,0
2018-11-11,CN,300x250,54,481,0,0,0,0,0,0
2018-11-11,CM,320x480,47,236,0,0,0,0,0,0
2018-11-11,HR,320x50,36,109,0,0,0,0,0,0
2018-11-11,CR,1920x1080,233,42799,49,21.03,.07,.32,1.55,0
2018-11-11,JP,1920x1080,5,481,0,0,0,0,0,0
2018-11-11,BD,320x480,116,2436,0,0,0,0,0,0
2018-11-11,TT,300x250,793,990,0,0,0,0,0,0
2018-11-11,YE,320x480,128,1809,0,0,0,0,0,0
2018-11-11,GY,768x1024,2,172,0,0,0,0,0,0
2018-11-11,AL,300x250,2438,3681,0,0,0,0,0,0
2018-11-11,GT,320x50,34,81,0,0,0,0,0,0
2018-11-11,AR,768x1024,1148,332363,180,15.67,.29,.25,1.63,.29
2018-11-11,IN,400x728,9,263,0,0,0,0,0,0
2018-11-11,SA,1280x760,3,45,0,0,0,0,0,0
2018-11-11,GD,728x1024,3,609,0,0,0,0,0,0
2018-11-11,LA,480x320,29,2363,0,0,0,0,0,0
2018-11-11,AM,768x1024,232,48354,0,0,0,0,0,0
2018-11-11,SA,1024x768,83,11172,2,2.40,0,.03,1.46,0
2018-11-11,BJ,728x1024,3,427,0,0,0,0,0,0
2018-11-11,ES,728x1280,14,1481,0,0,0,0,0,0
2018-11-11,BR,300x250,27929,2500288,1162,4.16,1.91,.06,1.64,.10
2018-11-11,NZ,300x250,586,1536,3,.51,0,0,1.41,0
2018-11-11,TN,728x1024,3,618,0,0,0,0,0,0
2018-11-11,PT,320x50,58,63,0,0,0,0,0,0
2018-11-11,BH,320x50,4,9,0,0,0,0,0,0
2018-11-11,BR,768x1024,17840,3389642,5177,29.01,10.06,.56,1.94,8.63
2018-11-11,GG,1280x720,1,18,0,0,0,0,0,0
2018-11-11,MO,320x480,11,527,0,0,0,0,0,0
2018-11-11,UA,0x0,5,554,0,0,0,0,0,0
2018-11-11,GH,720x1280,5,1063,0,0,0,0,0,0
2018-11-11,IM,320x480,3,0,0,0,0,0,0,0
2018-11-11,MM,320x100,280,1072,0,0,0,0,0,0
2018-11-11,TO,300x250,25,45,0,0,0,0,0,0
2018-11-11,SO,728x1024,4,109,0,0,0,0,0,0
2018-11-11,EG,320x480,194,4654,0,0,0,0,0,0
2018-11-11,US,630x357,0,1036,0,0,0,0,0,0
2018-11-11,YE,728x1024,4,90,0,0,0,0,0,0
2018-11-11,BR,728x1280,637,95227,53,8.32,.10,.15,1.89,0
2018-11-11,DE,400x728,13,1318,0,0,0,0,0,0
2018-11-11,NI,720x1280,3,0,0,0,0,0,0,0
2018-11-11,PL,320x480,325,3336,0,0,0,0,0,0
2018-11-11,JO,1024x768,0,9,0,0,0,0,0,0
2018-11-11,SY,300x250,0,1154,0,0,0,0,0,0
2018-11-11,FR,300x250,26020,783590,0,0,0,0,0,0
2018-11-11,PW,768x1024,22,3990,0,0,0,0,0,0
2018-11-11,HK,300x250,1090,1490643,304,27.88,.48,.44,1.59,0
2018-11-11,KR,480x360,0,18,0,0,0,0,0,0
2018-11-11,LB,320x480,269,3336,0,0,0,0,0,0
2018-11-11,JP,728x1024,0,272,0,0,0,0,0,0
2018-11-11,IN,408x320,0,9,0,0,0,0,0,0
2018-11-11,PH,320x100,0,63,0,0,0,0,0,0
2018-11-11,TH,0x0,2,0,0,0,0,0,0,0
2018-11-11,ET,728x1024,1,9,0,0,0,0,0,0
2018-11-11,KZ,320x100,0,18,0,0,0,0,0,0
2018-11-11,HN,728x1024,2,563,0,0,0,0,0,0
2018-11-11,HK,400x728,401,487908,38,9.47,.07,.18,1.91,0
2018-11-11,NZ,728x1024,106,20145,6,5.66,.01,.18,3.32,0
2018-11-11,LR,720x1280,3,127,0,0,0,0,0,0
2018-11-11,HN,320x480,41,309,0,0,0,0,0,0
2018-11-11,CM,0x0,11,0,0,0,0,0,0,0
